"EPCI_EPT","TYPO_IPCE","TYPO_INEG","TYPO_FREI"
"200070183","FAV","Q1","MOY"
"200070233","FAVP","Q3","FAVP"
"200070282","DEG","Q4","DEG"
"200070290","MOY","Q5","DEGP"
"200070308","MOY","Q2","FAV"
"200070316","DEG","Q5","FAVP"
"200070324","DEG","Q2","MOY"
"200070332","DEG","Q5","FAVP"
"200070340","FAVP","Q2","FAVP"
"200070365","DEGP","Q2","DEGP"
"200070373","DEG","Q5","FAV"
"200070407","MOY","Q4","MOY"
"200070431","MOY","Q3","MOY"
"200070449","FAVP","Q1","MOY"
"200070464","MOY","Q5","FAVP"
"200070506","FAVP","Q1","MOY"
"200070514","MOY","Q3","MOY"
"200070530","MOY","Q4","FAVP"
"200070548","FAV","Q3","FAV"
"200070555","FAVP","Q2","DEG"
"200070563","MOY","Q1","MOY"
"200070571","FAV","Q4","MOY"
"200070589","FAVP","Q2","DEG"
"200070647","MOY","Q1","MOY"
"200070662","FAV","Q2","MOY"
"200070670","MOY","Q3","MOY"
"200070688","FAV","Q3","DEG"
"200070712","DEG","Q4","DEG"
"200070720","DEG","Q5","MOY"
"200070738","FAV","Q4","MOY"
"200070746","MOY","Q5","DEG"
"200070753","FAV","Q2","MOY"
"200070761","MOY","Q4","DEG"
"200070779","FAVP","Q1","DEGP"
"200070787","MOY","Q1","DEG"
"200070795","MOY","Q1","DEG"
"200070803","FAV","Q2","MOY"
"200070811","FAV","Q1","MOY"
"200070829","MOY","Q5","DEG"
"200070845","MOY","Q5","DEG"
"200070852","FAV","Q4","MOY"
"200070894","FAVP","Q1","MOY"
"200070902","MOY","Q4","DEG"
"200070910","FAV","Q4","DEGP"
"200070928","DEGP","Q5","DEGP"
"200070936","DEG","Q3","MOY"
"200070944","DEG","Q5","MOY"
"200070951","MOY","Q4","DEGP"
"200070969","FAV","Q3","DEG"
"200070977","DEG","Q4","DEG"
"200070985","DEGP","Q5","DEGP"
"200070993","DEGP","Q3","DEG"
"200071017","FAV","Q1","MOY"
"200071025","DEG","Q3","DEG"
"200071033","MOY","Q5","MOY"
"200071041","MOY","Q4","DEGP"
"200071058","DEG","Q4","MOY"
"200071066","DEG","Q4","MOY"
"200071074","FAV","Q1","DEGP"
"200071082","DEG","Q4","MOY"
"200071116","MOY","Q2","MOY"
"200071140","FAV","Q1","FAV"
"200071157","MOY","Q2","FAV"
"200071165","MOY","Q2","FAVP"
"200071173","MOY","Q5","DEG"
"200071181","MOY","Q2","MOY"
"200071199","MOY","Q4","DEGP"
"200071207","MOY","Q3","MOY"
"200071215","FAV","Q3","MOY"
"200071223","DEG","Q3","DEG"
"200071298","FAVP","Q2","MOY"
"200071314","FAV","Q3","DEG"
"200071363","MOY","Q3","FAV"
"200071371","FAVP","Q2","MOY"
"200071389","MOY","Q3","MOY"
"200071405","DEG","Q5","MOY"
"200071413","MOY","Q3","MOY"
"200071454","MOY","Q1","MOY"
"200071470","DEG","Q5","MOY"
"200071496","MOY","Q4","DEG"
"200071504","FAV","Q3","FAV"
"200071512","DEG","Q4","MOY"
"200071520","MOY","Q2","FAV"
"200071538","FAV","Q4","MOY"
"200071546","MOY","Q5","FAVP"
"200071553","FAVP","Q3","FAVP"
"200071579","MOY","Q4","FAVP"
"200071587","MOY","Q2","FAVP"
"200071595","FAV","Q2","FAV"
"200071629","MOY","Q4","FAVP"
"200071645","FAVP","Q1","MOY"
"200071652","MOY","Q1","DEG"
